Symbol	Name	Gene Family	Type	RNA-Seq Correlation	RNA-Seq Correlation Self-Rank
INSIG1	insulin induced gene 1		landmark		
FOXO3	forkhead box O3	Forkhead boxes	landmark		
CDH3	cadherin 3	Type I classical cadherins	landmark		
ORC1	origin recognition complex subunit 1	AAA ATPases, Origin recognition complex 	landmark		
ITGAE	integrin subunit alpha E	CD molecules, Integrin alpha subunits	landmark		
CDK7	cyclin dependent kinase 7	Cyclin dependent kinases	landmark		
FOS	Fos proto-oncogene, AP-1 transcription factor subunit	Basic leucine zipper proteins, Fos transcription factor family	landmark		
CDK6	cyclin dependent kinase 6	Cyclin dependent kinases	landmark		
CDK4	cyclin dependent kinase 4	Cyclin dependent kinases	landmark		
CDK2	cyclin dependent kinase 2	Cyclin dependent kinases	landmark		
ITGB5	integrin subunit beta 5	Integrin beta subunits	landmark		
CDKN2A	cyclin dependent kinase inhibitor 2A		landmark		
CDKN1B	cyclin dependent kinase inhibitor 1B		landmark		
CDKN1A	cyclin dependent kinase inhibitor 1A		landmark		
FPGS	folylpolyglutamate synthase		landmark		
CEBPD	CCAAT/enhancer binding protein delta	Basic leucine zipper proteins, CCAAT/enhancer binding proteins 	landmark		
CEBPA	CCAAT/enhancer binding protein alpha	Basic leucine zipper proteins, CCAAT/enhancer binding proteins 	landmark		
CENPE	centromere protein E	Kinesins, Protein phosphatase 1 regulatory subunits	landmark		
MICALL1	MICAL like 1	LIM domain containing	landmark		
CETN3	centrin 3	EF-hand domain containing	landmark		
UBE2C	ubiquitin conjugating enzyme E2 C	Ubiquitin conjugating enzymes E2	landmark		
DUSP14	dual specificity phosphatase 14	Atypical dual specificity phosphatases	landmark		
TOPBP1	topoisomerase (DNA) II binding protein 1	BRCA1 B complex	landmark		
B4GAT1	beta-1,4-glucuronyltransferase 1		landmark		
RBM34	RNA binding motif protein 34	RNA binding motif containing	landmark		
PAPD7	poly(A) RNA polymerase D7, non-canonical	Non-canonical poly(A) polymerases	landmark		
WDTC1	WD and tetratricopeptide repeats 1	WD repeat domain containing, DDB1 and CUL4 associated factors, Tetratricopeptide repeat domain containing	landmark		
XPO7	exportin 7	Exportins	landmark		
AKAP8L	A-kinase anchoring protein 8 like		landmark		
RAB31	RAB31, member RAS oncogene family	RAB, member RAS oncogene GTPases	landmark		
SPEN	spen family transcriptional repressor	RNA binding motif containing	landmark		
FBXO21	F-box protein 21	F-boxes other	landmark		
RAB21	RAB21, member RAS oncogene family	RAB, member RAS oncogene GTPases	landmark		
SLC27A3	solute carrier family 27 member 3	Acyl-CoA synthetase family, Solute carriers	landmark		
KIF2C	kinesin family member 2C	Kinesins	landmark		
CCDC85B	coiled-coil domain containing 85B		landmark		
TLK2	tousled like kinase 2		landmark		
KDELR2	KDEL endoplasmic reticulum protein retention receptor 2		landmark		
MCUR1	mitochondrial calcium uniporter regulator 1		landmark		
CDK19	cyclin dependent kinase 19	Cyclin dependent kinases, Mediator complex	landmark		
JUN	Jun proto-oncogene, AP-1 transcription factor subunit	Basic leucine zipper proteins, Jun transcription factor family	landmark		
TBC1D9B	TBC1 domain family member 9B	EF-hand domain containing, GRAM domain containing	landmark		
PRSS23	protease, serine 23	Proteases, serine	landmark		
RRP1B	ribosomal RNA processing 1B	Protein phosphatase 1 regulatory subunits	landmark		
MYCBP2	MYC binding protein 2, E3 ubiquitin protein ligase		landmark		
CHEK1	checkpoint kinase 1		landmark		
KCNK1	potassium two pore domain channel subfamily K member 1	Potassium two pore domain channel subfamily K	landmark		
CHN1	chimerin 1	Rho GTPase activating proteins, SH2 domain containing	landmark		
CIRBP	cold inducible RNA binding protein	RNA binding motif containing	landmark		
HDGFRP3	hepatoma-derived growth factor, related protein 3		landmark		
